University,Motto,Language,Translation,text,country
National University of Asunción,Vitam Impendere Vero,Latin,"To stake one's life on what is true. - Juvenal, Satires, IV, 91.","To stake one's life on what is true. - Juvenal, Satires, IV, 91.",Paraguay
Pontifical Catholic University of Perú,Et Lux in Tenebris Lucet,Latin,And the Light Shone in the Dark,And the Light Shone in the Dark,Per.C3.BA
Universidad de Lima,Scientia et Praxis,Latin,Science and Practice,Science and Practice,Per.C3.BA
Adamson University,My Faith in God Almighty,English,,My Faith in God Almighty,Perú
Adventist University of the Philippines,On Ever Onward,English,,On Ever Onward,Perú
Arellano University,Pro Deo et Patria,Latin,For God and Country,For God and Country,Perú
Ateneo de Cagayan - Xavier University,Veritas Liberabit Vos,Latin,The Truth Shall Set You Free,The Truth Shall Set You Free,Perú
Ateneo de Davao University,Fortes in Fide,Latin,Strong in Faith,Strong in Faith,Perú
Ateneo de Manila University,Lux in Domino,Latin,Light in the Lord,Light in the Lord,Perú
Ateneo de Naga University,Primum Regnum Dei,Latin,"First, The Kingdom of God","First, The Kingdom of God",Perú
Ateneo de Zamboanga University,Pro Deo et Patria,Latin,For God and Country,For God and Country,Perú
Baliuag University,"Patria, Scientia et Virtus",Latin,"Country, Science and Virtue","Country, Science and Virtue",Perú
Central Philippine University,Scientia et Fides,Latin,Knowledge and Faith,Knowledge and Faith,Perú
Centro Escolar University,Ciencia y Virtud,Spanish,Science and Virtue,Science and Virtue,Perú
Colegio de San Juan de Letran,"Deus, Patria, Letran",Latin,"God, Country, Letran","God, Country, Letran",Perú
De La Salle University,"Religio, Mores, Cultura",Latin,"Religion, Morals, Culture","Religion, Morals, Culture",Perú
Far Eastern University,"Fortitude, Excellence, Uprightness",English,,"Fortitude, Excellence, Uprightness",Perú
Holy Angel University,Laus Deo Semper,Latin,Praise God Always,Praise God Always,Perú
La Fortuna College,"Veritas et honor, vis in perita",Latin,"Truth and honor, strength in skill","Truth and honor, strength in skill",Perú
Laguna State Polytechnic University,"Agriculture, Fisheries, Technology",English,NA,"Agriculture, Fisheries, Technology",Perú
Loyola College of Culion,Fortes in Fide,Latin,Strong in Faith,Strong in Faith,Perú
Lyceum of the Philippines University,"Veritas et Fortitudo, Pro Deo et Patria",Latin,"Truth and Courage, For God and Country","Truth and Courage, For God and Country",Perú
Malayan Colleges Laguna,Excellence and Virtue,English,NA,Excellence and Virtue,Perú
Manuel S. Enverga University Foundation,Pro Deo et Patria,Latin,For God and Country,For God and Country,Perú
Misamis University,Educating for the Future,English,,Educating for the Future,Perú
Mountain View College,Shine On Til Jesus Comes,English,NA,Shine On Til Jesus Comes,Perú
New Era University,Godliness is the Foundation of Knowledge.,English,NA,Godliness is the Foundation of Knowledge.,Perú
Our Lady of Fatima University,Veritas et Misericordia,Latin,For Truth and Compassion,For Truth and Compassion,Perú
Pamantasan ng Cabuyao,"Kapayapaan, Kaunlaran, Paglilingkod",Filipino,"Peace, Prosperity, Service","Peace, Prosperity, Service",Perú
Pamantasan ng Lungsod ng Maynila,"Karunungan, Kaunlaran, Kadakilaan",Filipino,"Wisdom, Prosperity, Greatness","Wisdom, Prosperity, Greatness",Perú
Philippine Normal University,"Truth, Excellence, Service",English,NA,"Truth, Excellence, Service",Perú
Polytechnic University of the Philippines,Tanglaw ng Bayan,Filipino,Light of the Nation,Light of the Nation,Perú
San Beda College,"Fides, Scientia, Virtus",Latin,"Faith, Knowledge, Virtue","Faith, Knowledge, Virtue",Perú
Saint Louis University,Sapientia Aedificat,Latin,Wisdom Builds,Wisdom Builds,Perú
Saint Mary's University,Sapientia A Deo,Latin,Wisdom from God,Wisdom from God,Perú
Saint Paul University System,"Caritas, Veritas, Scientia",Latin,"Love, Truth and Knowledge","Love, Truth and Knowledge",Perú
Silliman University,"Via, Veritas, Vita",Latin,"The Way, The Truth, The Life","The Way, The Truth, The Life",Perú
Trinity University of Asia,Pro Deo et Patria,Latin,For God and Country,For God and Country,Perú
University of Asia and the Pacific,Unitas,Latin,Unity,Unity,Perú
University of the Assumption,"Scientia, Virtus, et Communitas",Latin,"Knowledge, Virtue, Community Service","Knowledge, Virtue, Community Service",Perú
University of the East Ramon Magsaysay Memorial Medical Center,Pro Deo Et Patria,Latin,For God and Country,For God and Country,Perú
University of Perpetual Help System,Character Building is Nation Building,English,,Character Building is Nation Building,Perú
University of the Philippines (System),Honor and Excellence,English,,Honor and Excellence,Perú
University of San Agustin,Virtus et Scientia,Latin,Virtue and Science,Virtue and Science,Perú
University of San Carlos,"Scientia, Virtus, Devotio",Latin,"Knowledge, Virtues and Devotion","Knowledge, Virtues and Devotion",Perú
University of San Jose – Recoletos,Caritas et Scientia,Latin,Love and Knowledge,Love and Knowledge,Perú
University of Santo Tomas,Veritas in Caritate,Latin,Truth in Charity,Truth in Charity,Perú
West Visayas State University,"Service, Harmony, Excellence",English,,"Service, Harmony, Excellence",Perú
University of Łódź,Veritas et Libertas,Latin,Truth and Liberty,Truth and Liberty,Philippines
Jagiellonian University,Plus ratio quam vis,Latin,Let reason prevail over force (lit. More reason than for,Let reason prevail over force (lit. More reason than for,Philippines
AGH University of Science and Technology,"Labore creata, labori et scientiae servio",Latin,"Created in labour, I serve labour and science","Created in labour, I serve labour and science",Philippines
John Paul II Catholic University of Lublin,Deo et Patriae,Latin,To God and the Fatherland,To God and the Fatherland,Philippines
University of Lisbon[4],Ad Lucem,Latin,To the Light,To the Light,Poland
Portuguese Open University[5],Ad Astra,Latin,To the Stars,To the Stars,Poland
New University of Lisbon[6],Omnis Civitas Contra Se Divisa Non Stabit,Latin,All the city divided against itself will not remain,All the city divided against itself will not remain,Poland
Lusíada University[7],Sol Lucet Omnibus,Latin,The sun shines over everyone,The sun shines over everyone,Poland
University of Évora[8],Honesto Estudo com Longa Experiência Misturado,Portuguese,Honest Study mixed with Long Experience,Honest Study mixed with Long Experience,Poland
Catholic University of Portugal[9],Veritati,Latin,Truth,Truth,Poland
University of Aveiro[10],"Theoria, Poiesis, Praxis",Greek,"Theory, Reflection, Action","Theory, Reflection, Action",Poland
Lusophone University of Humanities and Technologies[11],Humani nihil alienum,Latin,Nothing human is strange to me,Nothing human is strange to me,Poland
University of Porto[12][permanent dead link],Virtus Unita Fortius Agit,Latin,The united virtue is the strongest,The united virtue is the strongest,Poland
University of Beira Interior[13],Scientia et Labore Altiora Petimus,Latin,Science and Work aim higher things,Science and Work aim higher things,Poland
University of Trás-os-Montes and Upper Douro[14],Scientia et labore omnia adipiscere,Latin,Science and Work to obtain all,Science and Work to obtain all,Poland
Alexandru Ioan Cuza University,Per libertatem ad veritatem,Latin,Through freedom to truth,Through freedom to truth,Portugal
Babeș-Bolyai University,Traditio nostra unacum Europae virtutibus splendet,Latin,Our tradition glows together with the virtues of Europe,Our tradition glows together with the virtues of Europe,Portugal
Gheorghe Asachi Technical University of Iași,Ipsa scientia potestas est,Latin,Knowledge itself is power,Knowledge itself is power,Portugal
Polytechnic University of Timișoara,"""Nu zidurile fac o școală, ci spiritul care domnește într’însa""",Romanian,"""It's not the walls that make a school, but the spirit living inside""","""It's not the walls that make a school, but the spirit living inside""",Portugal
Technical University of Cluj-Napoca,Paradoxul ingineriei: pune teoria în practică,Romanian,The paradox of engineering: It puts the theory into practice,The paradox of engineering: It puts the theory into practice,Portugal
University of Bucharest,Virtute et sapientia,Latin,By virtue and wisdom,By virtue and wisdom,Portugal
Lomonosov Moscow State University,"Наука есть ясное познание истины, просвещение разума",Russian,Science is the clear learning of truth and enlightenment of the mind,Science is the clear learning of truth and enlightenment of the mind,Romania
Moscow Institute of Physics and Technology,Sapere aude[15],Latin,Dare to know; Dare to be wise,Dare to know; Dare to be wise,Romania
Peoples' Friendship University of Russia,Scientia unescamus[16],Latin,We unite with knowledge,We unite with knowledge,Romania
St. Petersburg State University,Hic tuta perennat,Latin,Here we stay in peace,Here we stay in peace,Romania
State University – Higher School of Economics,Non scolae sed vitae discimus,Latin,"We do not learn for the school, but for life","We do not learn for the school, but for life",Romania
European University at Saint Petersburg,Addo Optimus Una,Latin,Bringing the best together,Bringing the best together,Romania
Orenburg State Institute of Management (OSIM),,Latin,Our students do us proud,Our students do us proud,Romania
National University of Rwanda,Illuminatio et Salus Populi[citation needed],Latin,Light and Salvation of the People,Light and Salvation of the People,Russia
National University of Singapore,Towards a Global Knowledge Enterprise,English,NA,Towards a Global Knowledge Enterprise,Rwanda
University of Sri Jayewardenepura,Vijja Uppaththang Settah[17],Sanskrit,Science is the Greatest of that which is born.,Science is the Greatest of that which is born.,Singapore
University of Peradeniya,Sarvasva Locanam Sasthram',Sanskrit,Supreme.,Supreme.,Sri_Lanka
"North-West University, Potchefstroom",In U Lig[18],Afrikaans,In Thy Light,In Thy Light,South_Africa
Rhodes University,"Vis, virtus, veritas[19]",Latin,"Strength, courage, truth""","Strength, courage, truth""",South_Africa
Stellenbosch University,Pectora roborant cultus recti[20],Latin,Sound learning strengthens the spirit,Sound learning strengthens the spirit,South_Africa
University of Cape Town,Spes Bona[21],Latin,Good Hope,Good Hope,South_Africa
University of Fort Hare,In lumine tuo videbimus lumen[22],Latin,In Thy light we see light,In Thy light we see light,South_Africa
University of the Free State,In Veritate Sapientiae Lux [23],Latin,In Truth is the Light of Wisdom,In Truth is the Light of Wisdom,South_Africa
University of Pretoria,Ad Destinatum Persequor[24],Latin,"I pursue destiny (lit. ""I pursue toward that which is resolved"")","I pursue destiny (lit. ""I pursue toward that which is resolved"")",South_Africa
University of South Africa,Pro Gentibus Sapientia[25],Latin,Learning in Service to Humanity,Learning in Service to Humanity,South_Africa
University of the Western Cape,Respice Prospice[26],Latin,"look to the future, learn from the past","look to the future, learn from the past",South_Africa
University of the Witwatersrand,Scientia et Labore[27],Latin,With knowledge and labor,With knowledge and labor,South_Africa
University of Venda,Knowledge is Precious [28],English,,Knowledge is Precious [28],South_Africa
University of Zululand,Diligentia Cresco[29],Latin,By Diligence we shall lead,By Diligence we shall lead,South_Africa
University of Khartoum,الله، الحقيقة، الوطن، الإنسانية,Arabic,God - Truth - Our Country - Humanity[121],God - Truth - Our Country - Humanity[121],Sudan
Universidad Politécnica de Madrid,Technica impendi nationi,Latin,Technology impulses nations,Technology impulses nations,Spain
Universidad Alfonso X el Sabio,Bonum est diffusivum sui[citation needed],Latin,Goodness is diffusive of itself,Goodness is diffusive of itself,Spain
Universidad del País Vasco,Eman ta zabal zazu,Basque,Give and spread it,Give and spread it,Spain
Universidade da Coruña,Hac luce,Latin,With (the use of) light,With (the use of) light,Spain
Universidad Autónoma de Madrid,Quid ultra faciam?,Latin,What more should I do?,What more should I do?,Spain
Universidad Carlos III de Madrid,Homo homini sacra res,Latin,Man must be sacred for man,Man must be sacred for man,Spain
Complutense University,Libertas Perfundet Omnia Luce,Latin,Freedom pours light around,Freedom pours light around,Spain
Universidad de Almería,In lumine sapientia,Latin,"In sunlight, wisdom","In sunlight, wisdom",Spain
Universidad de Burgos,In itinere veritas[citation needed],Latin,"In travel, the truth","In travel, the truth",Spain
Universidad de Cádiz,Non plus ultra,Latin,Nothing further beyond,Nothing further beyond,Spain
Universidad de Granada,Carolus Romanus Imperator Semper Augustus Hispaniarum Rex Fundator Universitatis Granatensis,Latin,"Charles, ever Holy Roman Emperor and King of Spain, founder of Granada University","Charles, ever Holy Roman Emperor and King of Spain, founder of Granada University",Spain
Universidad de Huelva,Sapere aude[citation needed],Latin,Dare to know,Dare to know,Spain
Universidad de La Laguna,Reg. Sancti Ferdinandi Vniversitatis Canariarvm Stemma,Latin,"From the King Saint Ferdinand, Canary Islands University shield","From the King Saint Ferdinand, Canary Islands University shield",Spain
Universidad Nacional de Educación a Distancia,Omnibus Mobilibus Mobilior Sapientia,Latin,"Of all the things that move, knowledge moves the fastest","Of all the things that move, knowledge moves the fastest",Spain
Universidad de Las Palmas de Gran Canaria,Ad Orbem per Technicam,Latin,To the world through technics,To the world through technics,Spain
Universitat Politècnica de València,Ex Technica Progressio,Latin,"Progress through technics (lit. ""Progress out of technics"")","Progress through technics (lit. ""Progress out of technics"")",Spain
Universidad de Salamanca,"Quod Natura Non Dat, Salmantica non praestat (unofficial)",Latin,"What nature does not provide, Salamanca does not add","What nature does not provide, Salamanca does not add",Spain
Universidad de Valladolid,Sapientia Aedificavit Sibi Domum,Latin,Wisdom hath built herself a house,Wisdom hath built herself a house,Spain
Real Centro Universitario Escorial-Maria Christina,Vox veritatis non tacet,Latin,The voice of truth is not silent,The voice of truth is not silent,Spain
Universidad Internacional Menéndez Pelayo,Sapere Aude,Latin,Dare to think / Dare to know,Dare to think / Dare to know,Spain
Universitat de Barcelona,Libertas Perfundet Omnia Luce,Latin,Freedom pours light around,Freedom pours light around,Spain
Universitat Jaume I,Sapientia sola libertas est,Latin,Only knowledge is freedom,Only knowledge is freedom,Spain
University of Lausanne,Le savoir vivant,French,The knowledge alive,The knowledge alive,Switzerland
University of Geneva,Post Tenebras Lux,Latin,"After darkness, light","After darkness, light",Switzerland
ETH Zurich,Welcome Tomorrow [122],English,,Welcome Tomorrow [122],Switzerland
Karolinska Institutet,Att förbättra människors hälsa,Swedish,To improve human health,To improve human health,Sweden
Chalmers University of Technology,Avancez,French,Advance (go forward),Advance (go forward),Sweden
Lund University,Ad utrumque (paratus),Latin,(Prepared) for both,(Prepared) for both,Sweden
University of Gothenburg,Tradita innovare innovata tradere,Latin,"A Tradition of Invention, an Inventor of Tradition","A Tradition of Invention, an Inventor of Tradition",Sweden
University of Uppsala,Gratiae veritas naturae,Latin,Truth through God's mercy and nature,Truth through God's mercy and nature,Sweden
Royal Institute of Technology,Vetenskap och konst,Swedish,Science and Art,Science and Art,Sweden
Aletheia University,虔誠、質實、勤勞、服務、科學、健康、前進[123],Traditional Chinese,"Pious, solid, hard-working, serving, scientific, healthy, progressive","Pious, solid, hard-working, serving, scientific, healthy, progressive",Taiwan
Asia University,健康 · 關懷 · 創新 · 卓越[124],Traditional Chinese,"Health, Care, Innovation, Excellence[125]","Health, Care, Innovation, Excellence[125]",Taiwan
Central Police University,誠[126][127],Traditional Chinese,Honesty,Honesty,Taiwan
Central Taiwan University of Science and Technology,忠、信、篤、敬[128],Traditional Chinese,"Loyalty, trust, sincerity, and respect[129]","Loyalty, trust, sincerity, and respect[129]",Taiwan
Chang Gung University,勤勞樸實[130],Traditional Chinese,"Diligence, Perseverance, Frugality and Trustworthiness[130]","Diligence, Perseverance, Frugality and Trustworthiness[130]",Taiwan
Chang Gung University of Science and Technology,勤勞樸實[131],Traditional Chinese,"Diligence, Perseverance, Frugality and Trustworthiness[132]","Diligence, Perseverance, Frugality and Trustworthiness[132]",Taiwan
Chaoyang University of Technology,勤學、敦品、力行[133],Traditional Chinese,"Diligence, character and action[134]","Diligence, character and action[134]",Taiwan
Chien Hsin University of Science and Technology,好學有禮[135],Traditional Chinese,Studious and Polite,Studious and Polite,Taiwan
Chinese Culture University,質樸堅毅[136],Traditional Chinese,"Temperament, Simplicity, Strength, and Tenacity[137]","Temperament, Simplicity, Strength, and Tenacity[137]",Taiwan
China Medical University,仁、慎、勤、廉[138],Traditional Chinese,"Compassion, Prudence, Diligence, Integrity[138]","Compassion, Prudence, Diligence, Integrity[138]",Taiwan
Chung Hua University,勤樸誠正[139],Traditional Chinese,"Diligence, Simplicity, Truthfulness, Justness","Diligence, Simplicity, Truthfulness, Justness",Taiwan
Chung Shan Medical University,誠愛精勤[140],Traditional Chinese,"Honesty, Love, Excellence, Diligence[140]","Honesty, Love, Excellence, Diligence[140]",Taiwan
Chung Yuan Christian University,篤信力行[141],Traditional Chinese,,,Taiwan
Dayeh University,手腦並用、敬業樂群[142],Traditional Chinese,Using the hands and mind together; dedicated and gregarious,Using the hands and mind together; dedicated and gregarious,Taiwan
Feng Chia University,忠勤誠篤[143],Traditional Chinese,"Loyalty, diligence, sincerity and perseverance[143]","Loyalty, diligence, sincerity and perseverance[143]",Taiwan
Fo Guang University,義正道慈[144],Traditional Chinese,,,Taiwan
Fu Jen Catholic University,"Veritas, Bonitas, Pulchritudo, Sanctitas真善美聖[145]","Latin,Traditional Chinese","Truth, beauty, goodness and sanctity[146]","Truth, beauty, goodness and sanctity[146]",Taiwan
Hsuan Chuang University,德智勤毅[147],Traditional Chinese,"Virtue, Knowledge, Diligence and Perseverance[148]","Virtue, Knowledge, Diligence and Perseverance[148]",Taiwan
Huafan University,德智能仁[149],Traditional Chinese,"Virtue, knowledge, ability and compassion","Virtue, knowledge, ability and compassion",Taiwan
I-Shou University,務實創新[150],Traditional Chinese,Pragmatic and Innovative,Pragmatic and Innovative,Taiwan
Kainan University,至誠、卓越、自由、豪邁[151],Traditional Chinese,"Sincere, excellent, free, bold","Sincere, excellent, free, bold",Taiwan
Kaohsiung Medical University,樂學至上，研究第一堅忍自強，勵學濟世[152],Traditional Chinese,,,Taiwan
Ming Chuan University,誠樸敬毅[153],Traditional Chinese,"Honesty, Modesty, Respect, Fortitude[153]","Honesty, Modesty, Respect, Fortitude[153]",Taiwan
MingDao University,明善誠身[154],Traditional Chinese,"Wisdom, Virtue, Honesty, Progress[155]","Wisdom, Virtue, Honesty, Progress[155]",Taiwan
Nanhua University,慧道中流[156],Traditional Chinese,"Wisdom, Means, Middle Way[156]","Wisdom, Means, Middle Way[156]",Taiwan
National Changhua University of Education,新本精行[157],Traditional Chinese,,,Taiwan
National Central University,誠樸[158],Traditional Chinese,Sincerity and Simplicity[159],Sincerity and Simplicity[159],Taiwan
National Cheng Kung University,窮理致知[160],Traditional Chinese,Intellectual Development through Persistent Pursuit of Knowledge[161],Intellectual Development through Persistent Pursuit of Knowledge[161],Taiwan
National Chengchi University,親愛精誠[162],Traditional Chinese,"Harmony, Independence, Balance and Preeminence[163]","Harmony, Independence, Balance and Preeminence[163]",Taiwan
National Chi Nan University,誠樸弘毅、務本致用[164],Traditional Chinese,,,Taiwan
National Chiao Tung University,知新致遠 崇實篤行[165],Traditional Chinese,"Absorb the new to look far ahead, and work pragmatically[166]","Absorb the new to look far ahead, and work pragmatically[166]",Taiwan
National Chiayi University,誠樸、力行、創新、服務[167],Traditional Chinese,"Sincerity, Action, Innovation, and Service[168]","Sincerity, Action, Innovation, and Service[168]",Taiwan
National Chung Cheng University,積極創新，修德澤人[169],Traditional Chinese,To innovate with earnestness; be virtuous with altruism[170],To innovate with earnestness; be virtuous with altruism[170],Taiwan
National Chung Hsing University,誠樸精勤[171],Traditional Chinese,"Honesty, Simplicity, Advancement, Diligence","Honesty, Simplicity, Advancement, Diligence",Taiwan
National Defense Medical Center,精愛精誠 博愛忠真[172],Traditional Chinese,,,Taiwan
National Formosa University,誠正精勤[173],Traditional Chinese,"Integrity, Righteousness, Spirit, Diligence","Integrity, Righteousness, Spirit, Diligence",Taiwan
National Hsinchu University of Education,博雅弘達[174],Traditional Chinese,,,Taiwan
National Ilan University,"篤學, 力行, 敬業, 樂群[175]",Traditional Chinese,"Studying diligently, practicing with earnestness, developing a respectful attitude toward professionalism[176]","Studying diligently, practicing with earnestness, developing a respectful attitude toward professionalism[176]",Taiwan
National Kaohsiung First University of Science and Technology,敬業、樂群、卓越、創新[177],Traditional Chinese,"Dedication, camaraderie, excellence, and innovation[178]","Dedication, camaraderie, excellence, and innovation[178]",Taiwan
National Kaohsiung Marine University,忠、信、勤、勇[179],Traditional Chinese,"Loyalty, trustworthiness, industriousness and bravery","Loyalty, trustworthiness, industriousness and bravery",Taiwan
National Kaohsiung Normal University,誠敬宏遠[180],Traditional Chinese,"Sincerity, Reverence, Greatness and Profundity[181]","Sincerity, Reverence, Greatness and Profundity[181]",Taiwan
National Kaohsiung University of Applied Sciences,弘、毅、精、勤[182],Traditional Chinese,"Altruism, Perseverance, Competence, and Diligence[182]","Altruism, Perseverance, Competence, and Diligence[182]",Taiwan
National Kaohsiung University of Hospitality and Tourism,精、誠、勤、樸[183],Traditional Chinese,"Perfect, Honest, Diligent, Modest[183]","Perfect, Honest, Diligent, Modest[183]",Taiwan
National Open University,敦品勵學、敬業樂群[184],Traditional Chinese,,,Taiwan
National Penghu University of Science and Technology,新、實、謙、愛[185],Traditional Chinese,"Innovation, Practicality, Modesty, Love-caring[186]","Innovation, Practicality, Modesty, Love-caring[186]",Taiwan
National Pingtung University of Science and Technology,仁實[187],Traditional Chinese,Benevolent and True[187],Benevolent and True[187],Taiwan
National Quemoy University,真知、力行、兼善天下[188],Traditional Chinese,"Sincerity, being knowledgeable, fulfillment, and actualization to improve ourselves and to make the world better at the same time[189]","Sincerity, being knowledgeable, fulfillment, and actualization to improve ourselves and to make the world better at the same time[189]",Taiwan
National Taichung University of Education,忠毅勤樸[190],Traditional Chinese,,,Taiwan
National Taichung University of Science and Technology,遠大密微[191],Traditional Chinese,"Broad, dense, micro","Broad, dense, micro",Taiwan
National Taipei University,追求真理，服務人群[192],Traditional Chinese,Searching for the truth and serving the people[192],Searching for the truth and serving the people[192],Taiwan
National Taipei University of Education,敦愛篤行[193],Traditional Chinese,To love and to act[193],To love and to act[193],Taiwan
National Taipei University of Nursing and Health Science,樂育親仁[194],Traditional Chinese,,,Taiwan
National Taipei University of Technology,誠、樸、精、勤[195],Traditional Chinese,"Integrity, Simplicity, Professionalism, Diligence","Integrity, Simplicity, Professionalism, Diligence",Taiwan
National Taiwan Normal University,誠正勤樸[196],Traditional Chinese,"Sincerity, Justice, Diligence, and Simplicity[197]","Sincerity, Justice, Diligence, and Simplicity[197]",Taiwan
National Taiwan Ocean University,誠樸博毅[198],Traditional Chinese,"Honesty, Simplicity, Fraternity, Perseverance[198]","Honesty, Simplicity, Fraternity, Perseverance[198]",Taiwan
National Taiwan Sport University,精誠樸毅[199],Traditional Chinese,"Precision, Honesty, Frugality and Perseverance[200]","Precision, Honesty, Frugality and Perseverance[200]",Taiwan
National Taiwan University,敦品 勵學 愛國 愛人[201],Traditional Chinese,"Integrity, Diligence, Fidelity, Compassion[201]","Integrity, Diligence, Fidelity, Compassion[201]",Taiwan
National Taiwan University of Arts,真善美[202],Traditional Chinese,"Truth, Goodness, and Beauty[203]","Truth, Goodness, and Beauty[203]",Taiwan
National Taiwan University of Physical Education and Sport,術德兼修、堅強勤奮[204],Traditional Chinese,,,Taiwan
National Taiwan University of Science and Technology,精誠[205],Traditional Chinese,"Precision in Work, Sincerity in Attitude.[205]","Precision in Work, Sincerity in Attitude.[205]",Taiwan
National Tsing Hua University,自强不息 厚德載物[206],Traditional Chinese,Constantly strengthen and cultivate ourselves[207],Constantly strengthen and cultivate ourselves[207],Taiwan
National United University,誠、敬、勤、新[208],Traditional Chinese,"Honesty, Respect, Diligence and Creativity[208]","Honesty, Respect, Diligence and Creativity[208]",Taiwan
National University of Tainan,仁、智、誠、正[209],Traditional Chinese,"Mercy, Intelligence, Sincerity, Justice[210]","Mercy, Intelligence, Sincerity, Justice[210]",Taiwan
National Yang-Ming University,真知力行、仁心仁術[211],Traditional Chinese,"benevolent mind and art, putting knowledge into practice[212]","benevolent mind and art, putting knowledge into practice[212]",Taiwan
National Yunlin University of Science and Technology,誠 敬 恆 新[213],Traditional Chinese,"Sincerity, Honor, Perseverance, Originality[213]","Sincerity, Honor, Perseverance, Originality[213]",Taiwan
Providence University,進德、修業[214],Traditional Chinese,Virtue with Knowledge / Virtus cum Scientia[215],Virtue with Knowledge / Virtus cum Scientia[215],Taiwan
Open University of Kaohsiung,精勤恆實[216],Traditional Chinese,"Expertise, diligence, perseverance, pragmatism","Expertise, diligence, perseverance, pragmatism",Taiwan
Shih Chien University,力行實踐，修齊治平[217],Traditional Chinese,Knowledge is the beginning of practice. Doing is the completion of knowing.[218],Knowledge is the beginning of practice. Doing is the completion of knowing.[218],Taiwan
Shih Hsin University,德智兼修、手腦並用[219],Traditional Chinese,Master virtue and wisdom; practice hands and mind[220],Master virtue and wisdom; practice hands and mind[220],Taiwan
Soochow University,養天地正氣，法古今完人[221]Unto a Full Grown Man[222],Traditional ChineseEnglish,"To nourish the spirit of universal truth, and to emulate the perfect man of the ages[221]","To nourish the spirit of universal truth, and to emulate the perfect man of the ages[221]",Taiwan
Taipei Medical University,誠樸[223],Traditional Chinese,Honesty,Honesty,Taiwan
Tamkang University,樸 實 剛 毅[224],Traditional Chinese,"Simplicity, Truthfulness, Firmness, Perseverance","Simplicity, Truthfulness, Firmness, Perseverance",Taiwan
Toko University,科技、智慧、創造、榮譽[225],Traditional Chinese,"Science and technology, intelligence, creativity, honor","Science and technology, intelligence, creativity, honor",Taiwan
Tunghai University,求真、篤信、力行[226],Traditional Chinese,"Truth, Faith, Deeds—Truth attained through Faith expressed by Deeds[226]","Truth, Faith, Deeds—Truth attained through Faith expressed by Deeds[226]",Taiwan
Tzu Chi University,慈悲喜捨[227],Traditional Chinese,"Kindness, Compassion, Joy, and Unselfish Giving[228]","Kindness, Compassion, Joy, and Unselfish Giving[228]",Taiwan
University of Kang Ning,創新 創意 創未來[229],Traditional Chinese,"Innovation, Creativity & Future-building![229]","Innovation, Creativity & Future-building![229]",Taiwan
University of Taipei,公、誠、勤、樸[230],Traditional Chinese,,,Taiwan
Yuan Ze University,誠、勤、樸、慎[231],Traditional Chinese,"Sincerity, Diligence, Thrift, Prudence[232]","Sincerity, Diligence, Thrift, Prudence[232]",Taiwan
Mahidol University,อตฺตานํ อุปมํ กเร,Pali,One ought to conduct oneself exemplarily,One ought to conduct oneself exemplarily,Thailand
Nakhon Phanom University,มหาวิทยาลัยใกล้บ้าน มาตราฐานสากล,Thai,,,Thailand
Thammasat University,เป็นเลิศ เป็นธรรม ร่วมนำสังคม,Thai,"Be the finest, be the fairness, be the main engine of society","Be the finest, be the fairness, be the main engine of society",Thailand
Silpakorn University,"Ars longa, Vita brevis.",Latin,"Art is long, Life is short.","Art is long, Life is short.",Thailand
Chiang Mai University,อตฺตานํ ทมยนฺติ ปณฺฑิตา,Pali,The wise control themselves.,The wise control themselves.,Thailand
King Mongkut's University of Technology Thonburi,ทนโต เสฏโฐ มนุสเสสุ,Pali,The trained man wins.,The trained man wins.,Thailand
Srinakharinwirot University,สิกฺขา วิรุฬหิ สมฺปตฺตา,Pali,Education is Growth.,Education is Growth.,Thailand
Burapha University,สุโข ปญฺญาปฏิลาโภ,Pali,Gaining intellectual knowledge brings happiness.,Gaining intellectual knowledge brings happiness.,Thailand
University of Lomé,Futurae Generis Humani Fides[233],Latin,Faith in the future of the human race,Faith in the future of the human race,Togo
Hacettepe University,Timeo hominem unius libri,Latin,I fear of a man with a single book,I fear of a man with a single book,Turkey
Bilkent University,Veritas,Latin,Truth,Truth,Turkey
Istanbul Bilgi University,Non scholae sed vitae discimus,Latin,"We do not learn for the school, but for life","We do not learn for the school, but for life",Turkey
Istanbul Technical University,Pioneer Through the AgesAsırlardır Çağdaş,EnglishTürkçe,Pioneer through the ages,Pioneer through the ages,Turkey
Middle East Technical University,Scientia Dux Vitae Certissimus,Latin,Science is the truest guide in life,Science is the truest guide in life,Turkey
Izmir University of Economics,Managing the Future,EnglishTürkçe,Geleceği yönetmek,Geleceği yönetmek,Turkey
Crimea State Medical University,Scientia Potentia Est[30],Latin,For also knowledge itself is power,For also knowledge itself is power,Ukraine
Kyiv-Mohyla Academy,"Tempus fugit, Academia sempiterna",Latin,"Time is running, Academy is eternal","Time is running, Academy is eternal",Ukraine
Lviv Polytechnic,Litteris et artibus,Latin,Art & Science,Art & Science,Ukraine
Lviv University,Раtriаe dесоri сіvibus еducаndis,Latin,Educated citizens - glory of the Motherland,Educated citizens - glory of the Motherland,Ukraine
National Aviation University,Vivere! Vincere! Creare!,Latin,Live! Create! Overcome!,Live! Create! Overcome!,Ukraine
University of Kiev,Utilitas honor et gloria,Latin,Utility Honor and Glory,Utility Honor and Glory,Ukraine
Ukrainian Catholic University,Nosce te ipsum,Latin,Know Thyself,Know Thyself,Ukraine
